[27-Oct-2025 16:52:03 UTC] PHP Warning:  Undefined variable $valor in /var/www/html/unidad3/act2/act2_2.php on line 26
[27-Oct-2025 16:52:03 UTC] PHP Deprecated:  setcookie(): Passing null to parameter #2 ($value) of type string is deprecated in /var/www/html/unidad3/act2/act2_2.php on line 26
[27-Oct-2025 16:56:24 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 66
[27-Oct-2025 16:56:24 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 67
[27-Oct-2025 16:56:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 66
[27-Oct-2025 16:56:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 67
[27-Oct-2025 16:56:42 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 66
[27-Oct-2025 16:56:42 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 67
[27-Oct-2025 16:56:57 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 69
[27-Oct-2025 16:56:57 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 70
[27-Oct-2025 16:57:07 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 69
[27-Oct-2025 16:57:07 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 70
[27-Oct-2025 16:58:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 69
[27-Oct-2025 16:58:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 70
[27-Oct-2025 17:00:23 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 70
[27-Oct-2025 17:00:23 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 71
[27-Oct-2025 17:00:23 UTC] PHP Warning:  Undefined array key "cookieBorrar" in /var/www/html/unidad3/act2/act2_2.php on line 72
[27-Oct-2025 17:01:10 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 70
[27-Oct-2025 17:01:10 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/unidad3/act2/act2_2.php:42) in /var/www/html/unidad3/act2/act2_2.php on line 71
[27-Oct-2025 17:01:10 UTC] PHP Warning:  Undefined array key "cookieBorrar" in /var/www/html/unidad3/act2/act2_2.php on line 72
[30-Oct-2025 16:29:00 UTC] PHP Warning:  Undefined array key "cookiecolor" in /var/www/html/unidad3/act2/act2_1.php on line 21
